gene_symbol_official,gene_symbol_fullname,count,idlist,Input Symbol,Official Symbol,Entrez Gene ID,Gene Name
HDAC1,histone deacetylase 1,9,"['39294473', '35285407', '35038897', '31265853', '28661460', '27060764', '26689981', '24290430', '16530522']",HDAC1,HDAC1,3065,histone deacetylase 1
SOX21,SRY-box,0,[],SOX21,SOX21,11166,SRY-box transcription factor 21
SEMA3D,semaphorin 3d,0,[],SEMA3D,SEMA3D,223117,semaphorin 3D
SEMA3C,semaphorin 3c,0,[],SEMA3C,SEMA3C,10512,semaphorin 3C
IRAK2,interleukin 1 receptor associated kinase 2,5,"['39299377', '32414769', '28283553', '24084649', '19284987']",IRAK2,IRAK2,3656,interleukin 1 receptor associated kinase 2
SELENOP,selenoprotein p,11,"['39549423', '35793609', '35287478', '33567962', '33224150', '26399395', '25999034', '19779296', '18319137', '18039501', '17184558']",SELENOP,SELENOP,6414,selenoprotein P
CXCR4,c x c motif chemokine receptor 4,82,"['38963161', '38789529', '38352962', '38203690', '37548626', '37543012', '37048076', '36205476', '36178806', '35926119', '35866483', '35583012', '35272622', '35232327', '34965966', '34668779', '33173092', '33070370', '32797076', '32210974', '31985098', '30978448', '30827397', '30594700', '30531316', '30088666', '29232699', '28562124', '27716214', '27604829', '26817997', '26717105', '26375818', '26374999', '26135872', '25839960', '25730507', '25477316', '25077616', '24889220', '24749796', '24339781', '24269609', '23903844', '22349591', '21690321', '21274742', '20847379', '20687203', '20644254', '20588160', '20205570', '20015219', '19876401', '19455014', '19194270', '18991619', '17942538', '17574643', '17075377', '16960780', '16954502', '16872282', '16814357', '15980685', '15911767', '15858009', '15717264', '15650194', '14581570', '12908932', '12390538', '11920324', '11119595', '11023494', '10976535', '10930145', '10888116', '10669334', '10221916', '10099119', '9824320']",CXCR4,CXCR4,7852,C-X-C motif chemokine receptor 4
HLA-E,major histocompatibility complex,5,"['39059595', '36466823', '36341392', '33727352', '29302013']",HLA-E,HLA-E,3133,"major histocompatibility complex, class I, E"
LPCAT2,lysophosphatidylcholine acyltransferase 2,1,['32587324'],LPCAT2,LPCAT2,54947,lysophosphatidylcholine acyltransferase 2
FCGR1A,Fc,4,"['37261353', '37235492', '35832273', '35332254']",FCGR1A,FCGR1A,2209,Fc gamma receptor Ia
IFNL2,interferon lambda 2,0,[],IFNL2,IFNL2,282616,interferon lambda 2
CD79B,cd79b protein human,0,[],CD79B,CD79B,974,CD79b molecule
IGKC,immunoglobulin kappa constant,0,[],IGKC,IGKC,3514,immunoglobulin kappa constant
PID1,phosphotyrosine interaction domain containing 1,3,"['39763654', '37398680', '23874546']",PID1,PID1,55022,phosphotyrosine interaction domain containing 1
SCUBE1,protein sorting signals,1,['33578598'],SCUBE1,SCUBE1,80274,"signal peptide, CUB domain and EGF like domain containing 1"
NDUFB10,nadh ubiquinone oxidoreductase subunit b10,0,[],NDUFB10,NDUFB10,4716,NADH:ubiquinone oxidoreductase subunit B10
SERPINC1,serpin family c member 1,3,"['37830896', '36459524', '30340979']",SERPINC1,SERPINC1,462,serpin family C member 1
MIR181A2,microrna 181a 2,0,[],MIR181A2,MIR181A2,406954,microRNA 181a-2
EDN3,endothelin 3,0,[],EDN3,EDN3,1908,endothelin 3
SLC11A1,solute carrier family 11 member 1,2,"['27955815', '14960532']",SLC11A1,SLC11A1,6556,solute carrier family 11 member 1
GABRQ,gamma aminobutyric acid,0,[],GABRQ,GABRQ,55879,gamma-aminobutyric acid type A receptor subunit theta
ELANE,elastase neutrophil expressed,17,"['40350654', '38981197', '38912048', '38852219', '38363924', '38308264', '37864923', '37179249', '36618365', '35332254', '33565395', '32908583', '32845709', '32575108', '31817302', '25880377', '25557485']",ELANE,ELANE,1991,"elastase, neutrophil expressed"
PLAT,plasminogen activator tissue type,5,"['38579513', '38348045', '27050058', '24668673', '9412562']",PLAT,PLAT,5327,"plasminogen activator, tissue type"
AOAH,acyloxyacyl hydrolase,4,"['30738665', '28400412', '27293313', '17989521']",AOAH,AOAH,313,acyloxyacyl hydrolase
LILRB2,leukocyte immunoglobulin like receptor b2,2,"['28341250', '24133137']",LILRB2,LILRB2,10288,leukocyte immunoglobulin like receptor B2
TBX3,,0,[],,,,
CD93,cd93 molecule,2,"['38512037', '23201921']",CD93,CD93,22918,CD93 molecule
FOXP3,forkhead box p3,160,"['40344985', '40281196', '39819719', '39642442', '39541036', '39471914', '39420573', '39072327', '38633258', '38531201', '38124410', '38040079', '38035776', '38010286', '37724530', '37612209', '37604833', '37192653', '37175808', '36883358', '36148230', '36052065', '35720398', '35546754', '35535600', '35413710', '35401514', '35257540', '35109868', '34898369', '34869064', '34512621', '34417666', '34379757', '34100383', '33549126', '33368247', '33158954', '33139385', '32829604', '32605751', '32570032', '32538218', '32418896', '32334851', '32089448', '31827139', '31616411', '31386235', '31214184', '31182172', '30470620', '30226896', '30005684', '29980222', '29778842', '29710792', '29182416', '29149705', '29037051', '28892065', '28863323', '28711488', '28682942', '28484247', '28419653', '28033393', '27941849', '27835904', '27609567', '27239104', '27188912', '27163159', '27156806', '26748374', '26577833', '26309018', '26231659', '26099581', '26059660', '25792277', '25691382', '25403265', '25382110', '25243429', '25119172', '25057063', '24866796', '24839144', '24670848', '24670210', '24642188', '24598292', '24504805', '24476849', '24343657', '24296433', '24034228', '23724126', '23630965', '23440442', '23328259', '23297791', '23259453', '23209626', '23188837', '23136794', '23071829', '23071758', '23071588', '23019018', '22921804', '22884251', '22860150', '22706088', '22693573', '22490157', '22357657', '22272258', '22172643', '21982068', '21916916', '21873557', '21811143', '21698274', '21622217', '21364928', '21227459', '21040619', '20233010', '20220566', '20219695', '20130237', '20053943', '20039298', '20030556', '19998507', '19728313', '19596013', '19573259', '19563258', '19484954', '19390618', '19278580', '19116251', '18946659', '18799222', '18787223', '18579608', '18538611', '18250461', '18171284', '17965062', '17868677', '17848179', '17600128', '17114466', '17101658', '15761496', '15640650']",FOXP3,FOXP3,50943,forkhead box P3
MYD88,myd88 innate immune signal transduction adaptor,284,"['40516289', '40504431', '40418546', '40399878', '40384854', '40315317', '40292295', '40153013', '40148079', '39862276', '39777764', '39755761', '39644263', '39642573', '39608427', '39548530', '39375720', '39294473', '39263833', '39025856', '39013775', '38889644', '38775678', '38673868', '38375470', '38316233', '38305333', '38102579', '38066526', '38010112', '37928258', '37871380', '37714273', '37668025', '37308226', '37059211', '37044187', '36920907', '36743916', '36730767', '36705532', '36618365', '36588003', '36569878', '36405758', '36242967', '36232563', '36164882', '35930089', '35921773', '35852392', '35774781', '35691271', '35603454', '35571255', '35464399', '35411633', '35410456', '35354111', '35237256', '34822998', '34815792', '34804025', '34731384', '34668104', '34183713', '33860064', '33857805', '33852805', '33842398', '33795743', '33681946', '33483079', '33368247', '33139717', '33123170', '33052227', '32935509', '32934605', '32881263', '32790920', '32769820', '32433207', '32424099', '32423469', '32421349', '32415087', '32373120', '32272432', '32239396', '32076015', '31769066', '31682847', '31534550', '31524226', '31520992', '31359679', '31350813', '31241993', '31210339', '30957795', '30905847', '30837984', '30794925', '30770245', '30734878', '30731096', '30680694', '30608918', '30445996', '30402800', '30355788', '30021146', '30013237', '29717063', '29651289', '29450586', '29402365', '29049365', '28817116', '28796387', '28795664', '28616865', '28562479', '28482922', '28461572', '28459433', '28452590', '28056977', '27872207', '27264973', '27261276', '27146354', '27099074', '26999192', '26987407', '26906634', '26889043', '26875149', '26790027', '26708162', '26682950', '26491261', '26448624', '26440613', '26178922', '26119193', '26075815', '26032013', '25929655', '25807366', '25628460', '25548221', '25548220', '25483963', '25393063', '25348624', '25254554', '25106654', '25089642', '25084278', '25054155', '24915805', '24882373', '24862492', '24835390', '24830455', '24747744', '24698353', '24646742', '24489087', '24453977', '24400637', '24269819', '24269486', '24244013', '24154627', '24143212', '24133169', '24042114', '23908488', '23690665', '23571641', '23479601', '23438875', '23048204', '23024779', '23023391', '22988837', '22970147', '22964301', '22901274', '22655058', '22586041', '22516959', '22509418', '22489868', '22427642', '22301633', '22116836', '22036947', '22020240', '21993637', '21966468', '21940669', '21881005', '21859896', '21799073', '21792053', '21753151', '21735552', '21693701', '21690321', '21628330', '21549792', '21441935', '21423223', '21358639', '21278343', '21219635', '21073991', '21071495', '20974827', '20833375', '20699281', '20624996', '20585389', '20561658', '20511556', '20377787', '20023007', '19941004', '19740375', '19563534', '19483718', '19297619', '19181857', '19049649', '19027002', '18837779', '18786322', '18692153', '18559428', '18305095', '18286571', '18250418', '18211965', '18086373', '18070149', '17935822', '17911638', '17911255', '17548519', '17537666', '17507480', '17386416', '17339353', '17030581', '17015750', '16954198', '16717116', '16714594', '16714586', '16585964', '16552045', '16518342', '16493078', '16487300', '16461893', '16342327', '16207247', '16081822', '16025156', '15665823', '15555532', '15517610', '15128822', '15115715', '14620135', '12679810', '12552407', '12218091', '11739528', '10435584']",MYD88,MYD88,4615,MYD88 innate immune signal transduction adaptor
VDAC1,voltage dependent anion channel 1,5,"['39664568', '38753484', '38346662', '36603706', '21712982']",VDAC1,VDAC1,7416,voltage dependent anion channel 1
F11R,f11 receptor,2,"['39348809', '19496026']",F11R,F11R,50848,F11 receptor
TGM2,transglutaminase 2,7,"['39111545', '38640713', '34607226', '33672962', '32142762', '25057925', '23053022']",TGM2,TGM2,7052,transglutaminase 2
GBP5,guanylate binding protein 5,6,"['35227853', '34042221', '33618723', '28393889', '26951612', '12396730']",GBP5,GBP5,115362,guanylate binding protein 5
DLL1,delta like canonical notch ligand 1,4,"['40043814', '37298115', '35922468', '31396491']",DLL1,DLL1,28514,delta like canonical Notch ligand 1
BPI,bactericidal permeability increasing protein,83,"['40221544', '36685531', '36201905', '32747603', '29580199', '27646594', '27501062', '27427274', '27242337', '25795726', '25000179', '24383711', '23160386', '23116442', '22814125', '22683658', '22681048', '22116933', '21787336', '20593274', '20571257', '19442233', '18833552', '18241571', '17898994', '17693935', '17585043', '17181157', '16893503', '15896843', '15503551', '15120000', '15099530', '14739127', '14604479', '14504103', '12594893', '12515655', '12389020', '12234819', '11829836', '11829800', '11825862', '11734769', '11445748', '11373419', '11089749', '11041396', '11007200', '10779788', '10586550', '10509463', '10338482', '10191239', '10024109', '9857286', '9789288', '9769255', '9371168', '9288144', '9145457', '8989184', '8877531', '8648149', '8787881', '8593028', '7485405', '8564560', '7768603', '7538550', '7706502', '7798655', '7743357', '8024362', '8185667', '8143464', '8143463', '8195314', '7831363', '8228369', '8161370', '8469900', '3138236']",BPI,BPI,671,bactericidal permeability increasing protein
GBP1,guanylate binding protein 1,5,"['36462334', '26711047', '26358736', '23874546', '12396730']",GBP1,GBP1,2633,guanylate binding protein 1
GDF15,growth differentiation factor 15,23,"['39985040', '39147013', '38725041', '38409830', '38272793', '35420978', '35095877', '34566964', '34221186', '33729137', '33284091', '33188737', '32424099', '32289326', '31402172', '31148335', '30633545', '30214469', '29180833', '28432312', '25850080', '20926522', '20133896']",GDF15,GDF15,9518,growth differentiation factor 15
TNFRSF9,tnf receptor superfamily member 9,0,[],TNFRSF9,TNFRSF9,3604,TNF receptor superfamily member 9
HMGN1,high mobility group nucleosome binding domain 1,0,[],HMGN1,HMGN1,3150,high mobility group nucleosome binding domain 1
NRTN,neurturin,0,[],NRTN,NRTN,4902,neurturin
ADORA2A,adenosine a2a receptor,14,"['35838900', '34597782', '27757725', '27430240', '27239843', '22249219', '22192288', '21878175', '19538256', '18541693', '16846461', '16622031', '15915030', '15122527']",ADORA2A,ADORA2A,135,adenosine A2a receptor
EDN1,endothelin 1,185,"['40228821', '39671358', '39587404', '38996171', '38691102', '37541107', '36981754', '36870466', '35610344', '35579023', '34033707', '33723589', '33713955', '33053025', '32326777', '32139154', '30448517', '30095297', '30086070', '29980217', '28840836', '28542386', '27918369', '27640146', '27742253', '27282767', '26942605', '26925810', '26694894', '26342031', '25948886', '25288367', '25243430', '24846832', '24735957', '24641950', '24611481', '24406281', '23518685', '23406754', '23143058', '23034457', '22820174', '21897335', '21855287', '21811803', '21760895', '21454175', '21383506', '21336119', '21270403', '20710019', '20699745', '20594472', '20016149', '19730256', '19695176', '19633546', '19625378', '21189559', '19295490', '19025532', '18484618', '18304365', '18214440', '18080871', '17885645', '17722367', '17612571', '17400719', '17334537', '17303098', '16741049', '16627560', '16625129', '16205316', '16166554', '16146710', '16043243', '16018991', '15987392', '15978702', '15900943', '15824650', '15784596', '15647606', '15641147', '15576275', '15543933', '15357006', '15337169', '15071995', '14674977', '14535395', '14501953', '12899341', '12839289', '12468266', '12412619', '12193116', '12193056', '12029415', '12022758', '11801842', '11736680', '11700420', '11580117', '11545627', '11509130', '11498524', '11386616', '11325070', '11230720', '11206318', '11129415', '10966238', '10921577', '10836339', '10823387', '10806135', '10803767', '10688986', '10644485', '11113055', '10618475', '10468666', '10374426', '10220306', '10188769', '10030803', '9934909', '9921719', '9892594', '9869543', '9856510', '9802795', '9781723', '9772415', '9772405', '9730875', '9721979', '9688086', '9659167', '9564766', '9595537', '9595446', '9556126', '9201055', '9187609', '9187606', '9176305', '9165672', '9596952', '9087662', '9446104', '8982535', '8948012', '8942332', '8940680', '8797627', '8762086', '8733596', '8706460', '8747795', '7634809', '7736750', '7773801', '7727611', '7725884', '7743344', '7938901', '7938900', '8310408', '8412096', '8338025', '8472750', '8489768', '8379340', '8299709', '1667911', '1872494', '1655337', '1998407', '1725378', '2082700']",EDN1,EDN1,1906,endothelin 1
LIG4,dna ligase 4,0,[],LIG4,LIG4,3981,DNA ligase 4
FCER1G,Fc,3,"['40411297', '39430765', '37921181']",FCER1G,FCER1G,2207,Fc epsilon receptor Ig
ADRA1D,receptors adrenergic,4,"['35939258', '26025460', '25869507', '21412183']",ADRA1D,ADRA1D,146,adrenoceptor alpha 1D
BECN1,beclin 1,58,"['40017369', '40011296', '40010959', '39567616', '39223886', '38643461', '38288570', '38058075', '38030060', '37984253', '37857120', '37811623', '37381965', '37219401', '37146706', '37120013', '36842570', '36102305', '35861821', '35854770', '35641782', '35371338', '35274595', '34920961', '34812477', '34559744', '34530204', '34211859', '34051206', '33930602', '33660819', '33452667', '33390769', '33381582', '32794227', '32148244', '32058932', '31815144', '31712853', '31567378', '31333648', '31292306', '30789157', '30744190', '30676840', '30645707', '30352239', '30343389', '29853517', '28872080', '27979475', '27571874', '27508931', '26670667', '25483963', '23971531', '23707973', '19914257']",BECN1,BECN1,8678,beclin 1
CTLA4,cytotoxic t lymphocyte associated protein 4,69,"['40433376', '40377525', '40334959', '39118298', '39104632', '39104530', '39072327', '39012778', '38226924', '37716165', '36190378', '36148230', '35981050', '35944174', '35708403', '35535600', '35475529', '35401514', '35158228', '34412756', '34019653', '33613563', '33579182', '33139385', '32829604', '32697326', '32284611', '32148245', '31484735', '31316497', '30850582', '30310101', '30048690', '29879143', '29635527', '29149705', '29135922', '28894043', '28892065', '28742984', '28363639', '28056053', '27941849', '27835904', '27239104', '26577833', '26366739', '26309018', '24246306', '24148296', '23663657', '23479601', '22824083', '22742734', '22345473', '21916916', '21368717', '20053943', '19484954', '19278580', '17965062', '17848179', '17398134', '16563575', '16257513', '16107957', '14607947', '12847405', '10695660']",CTLA4,CTLA4,1493,cytotoxic T-lymphocyte associated protein 4
IL27,interleukin 27,55,"['40396598', '40171168', '40139445', '40046257', '39945893', '39913960', '39810405', '39724680', '39549085', '39243130', '37395245', '37306242', '36891292', '36632914', '35580626', '34663245', '34208904', '34114448', '33954170', '33180383', '32684215', '31964363', '31818960', '31786500', '31507598', '31154043', '30926803', '30600951', '30268141', '29762676', '28835457', '27648693', '27525353', '26514771', '26085094', '26049184', '25348624', '25142036', '25074706', '24848949', '24670848', '24604832', '24101691', '23935244', '23903853', '23384341', '23270567', '23107287', '22965735', '21068249', '20631310', '20122166', '18227999', '17934090', '16880260']",IL27,IL27,246778,interleukin 27
RGL4,ral guanine nucleotide dissociation stimulator like 4,2,"['39871218', '37359526']",RGL4,RGL4,266747,ral guanine nucleotide dissociation stimulator like 4
ZBP1,z dna binding protein 1,9,"['40559884', '40348119', '40289345', '39465383', '39433574', '39197800', '38942784', '38239341', '24551153']",ZBP1,ZBP1,81030,Z-DNA binding protein 1
ADRA2A,adrenoceptor alpha 2a,1,['38091635'],ADRA2A,ADRA2A,150,adrenoceptor alpha 2A
MIR141,microrna 141,5,"['38652556', '34308733', '34289745', '34008755', '31173169']",MIR141,MIR141,406933,microRNA 141
CXCL16,c x c motif chemokine ligand 16,7,"['39712033', '39358228', '38889512', '37662932', '34811434', '34454064', '16954198']",CXCL16,CXCL16,58191,C-X-C motif chemokine ligand 16
C5,complement c5,94,"['40380203', '40023814', '38447809', '37854608', '36866993', '36797757', '36725909', '35084692', '35005033', '34507997', '34460840', '32624359', '32187106', '31928535', '30487276', '30444525', '29977033', '29437288', '29362231', '28630186', '28420473', '27437704', '26737776', '26612199', '26607226', '26049730', '25956456', '25946153', '25462344', '24790148', '24743949', '24465843', '24051102', '23887360', '23761634', '23660733', '23270806', '23117396', '23049598', '22970186', '22964230', '22903675', '21964028', '21948367', '21679706', '21635555', '21557939', '21170490', '19477527', '19295490', '19116907', '18587006', '18419792', '18160402', '18098135', '18063050', '15805316', '15717720', '15638131', '15605195', '15192652', '14707096', '12881318', '12228319', '10992465', '10857533', '10765513', '10023390', '9476114', '8647174', '8727941', '8077939', '8091004', '8294868', '8454352', '2379939', '3397181', '3282496', '3042187', '3059139', '3658535', '6305847', '6850421', '7103255', '6980288', '6952692', '7216454', '6444789', '109057', '666383', '666370', '1086832', '949521', '47148']",C5,C5,727,complement C5
NFIL3,nuclear factor interleukin 3 regulated,1,['25698074'],NFIL3,NFIL3,4783,"nuclear factor, interleukin 3 regulated"
IL1RN,interleukin 1 receptor antagonist,115,"['39887584', '39117832', '39112975', '37478856', '37470831', '37460430', '37344166', '37195096', '36822750', '36600424', '36334787', '35881034', '34493741', '32239396', '31583025', '31276515', '31125901', '30660782', '28991823', '28383060', '27749344', '26584195', '26473437', '26184633', '26135738', '26133372', '25968570', '25500257', '25429809', '25398799', '25338201', '25221876', '25089931', '24978893', '24583503', '24428862', '23388517', '23378564', '23195019', '23014359', '21494102', '21272259', '20693886', '20463618', '20454520', '20229041', '19865485', '19241361', '19050610', '18664784', '17855815', '17068734', '16932228', '16132884', '15836820', '15338480', '14647192', '14506630', '14500502', '12808174', '12691617', '12472674', '12394971', '12390476', '12060493', '12006801', '11876758', '11727537', '11373406', '11271398', '11258608', '10860425', '10786962', '10722586', '10446828', '10382786', '10382785', '10320832', '9788457', '9673230', '9641176', '9488258', '9434313', '9377171', '9233735', '9039529', '8855299', '8843745', '8828078', '8648214', '8605344', '8562960', '8869831', '8863178', '8681977', '8547127', '8552437', '7620156', '7611862', '7603782', '7710539', '7526701', '7924371', '7704933', '8063018', '8196140', '8042646', '8173722', '8124953', '7919431', '8328833', '7679779', '1417187', '1533321', '2147233']",IL1RN,IL1RN,3557,interleukin 1 receptor antagonist
DNAJC21,DnaJ,0,[],DNAJC21,DNAJC21,134218,DnaJ heat shock protein family (Hsp40) member C21
AVPR2,arginine vasopressin receptor 2,4,"['33160069', '32820475', '21892977', '20606409']",AVPR2,AVPR2,554,arginine vasopressin receptor 2
PSMB8,proteasome 20s subunit beta 8,2,"['40155864', '39733737']",PSMB8,PSMB8,5696,proteasome 20S subunit beta 8
BCL2A1,bcl2 related protein a1,6,"['39993996', '37069215', '35832273', '29756489', '29727715', '21390214']",BCL2A1,BCL2A1,597,BCL2 related protein A1
IKBKG,inhibitor of nuclear factor kappa b kinase regulatory subunit gamma,0,[],IKBKG,IKBKG,8517,inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
CD27,cd27 molecule,37,"['39654893', '36231103', '36199375', '35020851', '34938286', '33222048', '33068867', '31537145', '29661225', '29028770', '28507081', '28193736', '27925349', '27857173', '27270556', '26661331', '25196852', '24646735', '24148296', '23853580', '22861369', '22695303', '22566566', '22365582', '22197273', '21403590', '20627191', '20363974', '19617814', '19239367', '18625747', '17182676', '17079436', '16487237', '12975468', '12382097', '11907204']",CD27,CD27,939,CD27 molecule
