,DOClass,Disease,DiseaseClass,EvidenceIndexGDA,EvidenceLevelGDA,FirstRef,Gene,GeneDPI,GeneDSI,GeneFullName,GenePLI,HPOClass,LastRef,NumDiseasesAssociatedToGene,NumGenesDisease,NumPMIDs,NumVariantsAssociatedToGene,NumVariantsDisease,NumVariantsGDA,PathwayIDs,PathwayNames,ProteinClass,ScoreGDA,SemanticType,Type,UnitProt,diseaseUMLSCUI,geneEnsemblIDs,geneNcbiID,geneNcbiType,numCTs,numChemsIncludedInEvidences,numPMIDSWithChemsIncludedInEvidences
61,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",1.0,,2016.0,RPL4,0.58,0.73,ribosomal protein L4,1.0,,2016.0,2,31,1,2,26,0,"R-HSA-1266738,R-HSA-1430728,R-HSA-1643685,R-HSA-392499,R-HSA-8953854,R-HSA-8953897","Developmental Biology,Metabolism,Disease,Metabolism of proteins,Metabolism of RNA,Cellular responses to stimuli",,0.4,Disease or Syndrome (T047),disease,P36578,C0243026,ENSG00000174444,6124,protein-coding,0,0,0
62,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",1.0,,2016.0,ADORA2B,0.83,0.53,adenosine A2b receptor,3.4422e-08,,2016.0,3,31,1,1,26,0,"R-HSA-162582,R-HSA-1643685,R-HSA-392499","Signal Transduction,Disease,Metabolism of proteins",G-protein coupled receptor,0.4,Disease or Syndrome (T047),disease,P29275,C0243026,ENSG00000170425,136,protein-coding,0,0,0
63,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",1.0,,2007.0,MT1A,0.75,0.6,metallothionein 1A,0.00020324,,2007.0,26,31,1,1,26,0,R-HSA-8953897,Cellular responses to stimuli,,0.4,Disease or Syndrome (T047),disease,P04731,C0243026,ENSG00000205362,4489,protein-coding,0,0,0
64,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",1.0,,2007.0,MT2A,0.88,0.5,metallothionein 2A,0.044744,,2007.0,27,31,1,3,26,0,"R-HSA-168256,R-HSA-8953897","Immune System,Cellular responses to stimuli",,0.4,Disease or Syndrome (T047),disease,P02795,C0243026,ENSG00000125148,4502,protein-coding,0,0,0
65,,Septicemia,"Pathological Conditions, Signs and Symptoms,Infections",,,,XIAP,0.88,0.43,X-linked inhibitor of apoptosis,,Abnormality of the immune system (02715),,17,1,0,129,1,1,,,Enzyme modulator,0.4,Disease or Syndrome (T047),disease,"B2R9R2,P98170",C0036690,ENSG00000101966,331,protein-coding,0,0,0
66,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.8936170212765957,,1996.0,TNF,0.96,0.23,tumor necrosis factor,0.85687,,2004.0,311,31,3,9,26,0,,,Signaling,1.0,Disease or Syndrome (T047),disease,"Q5STB3,P01375",C0243026,ENSG00000232810,7124,protein-coding,75,53,42
67,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.918918918918919,,2001.0,IL10,0.96,0.27,interleukin 10,0.48334,,2001.0,127,31,1,38,26,0,"R-HSA-1643685,R-HSA-168256","Disease,Immune System",,1.0,Disease or Syndrome (T047),disease,"P22301,Q6FGW4",C0243026,ENSG00000136634,3586,protein-coding,49,30,23
68,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.9117647058823528,,2020.0,IL1B,0.96,0.27,interleukin 1 beta,0.48761,,2020.0,162,31,1,4,26,0,"R-HSA-1643685,R-HSA-168256,R-HSA-5357801","Disease,Immune System,Programmed Cell Death",,1.0,Disease or Syndrome (T047),disease,P01584,C0243026,ENSG00000125538,3553,protein-coding,36,32,21
69,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.8704453441295547,,2020.0,IL6,0.96,0.24,interleukin 6,0.19935,,2020.0,209,31,1,6,26,0,"R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-74160,R-HSA-8953897","Signal Transduction,Disease,Immune System,Metabolism of proteins,Gene expression (Transcription),Cellular responses to stimuli",,1.0,Disease or Syndrome (T047),disease,"B5MC21,B4DVM1,B4DNQ5,P05231,Q75MH2",C0243026,ENSG00000136244,3569,protein-coding,105,44,39
70,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.982608695652174,,2009.0,HMGB1,0.92,0.37,high mobility group box 1,0.99972,,2013.0,22,31,2,14,26,0,"R-HSA-1643685,R-HSA-168256,R-HSA-5357801","Disease,Immune System,Programmed Cell Death",Nucleic acid binding,0.95,Disease or Syndrome (T047),disease,P09429,C0243026,ENSG00000189403,3146,protein-coding,3,21,25
71,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.8585858585858586,,2010.0,TLR4,0.92,0.33,toll like receptor 4,0.00040578,,2010.0,88,31,1,4,26,0,,,,0.9,Disease or Syndrome (T047),disease,O00206,C0243026,ENSG00000136869,7099,protein-coding,1,16,13
72,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.9,,1998.0,IFNG,0.96,0.27,interferon gamma,0.10687,,1998.0,132,31,1,19,26,0,"R-HSA-168256,R-HSA-74160","Immune System,Gene expression (Transcription)",,0.9,Disease or Syndrome (T047),disease,"P01579,A0A7R8GUN6",C0243026,ENSG00000111537,3458,protein-coding,14,13,6
73,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.8125,,2010.0,NOS3,0.96,0.37,nitric oxide synthase 3,2.4053e-25,,2010.0,125,31,1,14,26,0,"R-HSA-109582,R-HSA-1430728,R-HSA-162582,R-HSA-168256,R-HSA-8953897","Hemostasis,Metabolism,Signal Transduction,Immune System,Cellular responses to stimuli",,0.9,Disease or Syndrome (T047),disease,"A0S0A6,P29474",C0243026,ENSG00000164867,4846,protein-coding,1,4,5
74,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.8787878787878788,,,TREM1,0.88,0.48,triggering receptor expressed on myeloid cells 1,0.00019116,,,7,31,0,0,26,0,"R-HSA-109582,R-HSA-168256","Hemostasis,Immune System",,0.9,Disease or Syndrome (T047),disease,"K7EKM5,Q38L15,Q9NP99",C0243026,ENSG00000124731,54210,protein-coding,2,3,4
75,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.8767123287671232,,2002.0,PROC,0.88,0.39,"protein C, inactivator of coagulation factors Va and VIIIa",2.1626e-05,,2007.0,31,31,2,174,26,0,"R-HSA-109582,R-HSA-392499","Hemostasis,Metabolism of proteins",Enzyme,0.85,Disease or Syndrome (T047),disease,"B4DPC8,P04070",C0243026,ENSG00000115718,5624,protein-coding,7,12,10
76,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.9583333333333334,,2005.0,ANGPT1,0.83,0.42,angiopoietin 1,0.99987,,2005.0,16,31,1,26,26,0,"R-HSA-109582,R-HSA-162582","Hemostasis,Signal Transduction",Signaling,0.85,Disease or Syndrome (T047),disease,"B4DTQ9,Q15389",C0243026,ENSG00000154188,284,protein-coding,2,4,4
77,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.9583333333333334,,2012.0,LBP,0.92,0.46,lipopolysaccharide binding protein,6.7841e-14,,2012.0,10,31,1,0,26,0,R-HSA-168256,Immune System,,0.85,Disease or Syndrome (T047),disease,"P18428,Q8TCF0",C0243026,ENSG00000129988,3929,protein-coding,1,2,2
78,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.9375,,2007.0,CSF3,0.92,0.34,colony stimulating factor 3,4.8646e-06,,2007.0,89,31,1,2,26,0,R-HSA-168256,Immune System,,0.85,Disease or Syndrome (T047),disease,"Q6FH65,Q8N4W3,P09919",C0243026,ENSG00000108342,1440,protein-coding,1,3,2
79,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.9230769230769232,,2005.0,TGFB1,0.92,0.27,transforming growth factor beta 1,0.025965,,2005.0,135,31,1,38,26,0,"R-HSA-109582,R-HSA-1266738,R-HSA-1474244,R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-74160","Hemostasis,Developmental Biology,Extracellular matrix organization,Signal Transduction,Disease,Immune System,Metabolism of proteins,Gene expression (Transcription)",Signaling,0.85,Disease or Syndrome (T047),disease,"A0A499FJK2,P01137",C0243026,ENSG00000105329,7040,protein-coding,1,2,2
80,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.6666666666666666,,2007.0,NOS2,0.96,0.34,nitric oxide synthase 2,1.9485999999999999e-22,,2010.0,85,31,2,12,26,0,"R-HSA-109582,R-HSA-1643685,R-HSA-168256,R-HSA-9609507","Hemostasis,Disease,Immune System,Protein localization",,0.8,Disease or Syndrome (T047),disease,P35228,C0243026,ENSG00000007171,4843,protein-coding,0,7,13
81,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.9491525423728814,,2004.0,ADM,0.88,0.41,adrenomedullin,0.90366,,2004.0,19,31,1,1,26,0,"R-HSA-162582,R-HSA-8953897","Signal Transduction,Cellular responses to stimuli",Signaling,0.8,Disease or Syndrome (T047),disease,P35318,C0243026,ENSG00000148926,133,protein-coding,0,6,5
82,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.9166666666666666,,2011.0,LTA,0.92,0.4,lymphotoxin alpha,,,2011.0,48,31,1,17,26,0,R-HSA-168256,Immune System,,0.75,Disease or Syndrome (T047),disease,"Q5STV3,P01374",C0243026,ENSG00000226979,4049,protein-coding,0,0,0
83,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.85,,2005.0,MMP9,0.92,0.3,matrix metallopeptidase 9,3.7082e-25,,2005.0,107,31,1,38,26,0,"R-HSA-1266738,R-HSA-1474244,R-HSA-162582,R-HSA-168256","Developmental Biology,Extracellular matrix organization,Signal Transduction,Immune System",Enzyme,0.75,Disease or Syndrome (T047),disease,P14780,C0243026,ENSG00000100985,4318,protein-coding,0,1,1
84,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",1.0,,1999.0,MIF,0.92,0.4,macrophage migration inhibitory factor,2.2471e-08,,1999.0,29,31,1,0,26,0,"R-HSA-109582,R-HSA-168256","Hemostasis,Immune System",,0.7,Disease or Syndrome (T047),disease,"I4AY87,P14174",C0243026,ENSG00000240972,4282,protein-coding,0,1,1
85,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.875,,2005.0,CASP3,0.88,0.37,caspase 3,0.066565,,2020.0,39,31,2,1,26,0,,,Enzyme,0.65,Disease or Syndrome (T047),disease,P42574,C0243026,ENSG00000164305,836,protein-coding,0,6,4
86,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",1.0,,2017.0,TGFBI,0.88,0.41,transforming growth factor beta induced,1.1763e-11,,2017.0,13,31,1,75,26,0,R-HSA-392499,Metabolism of proteins,Signaling,0.65,Disease or Syndrome (T047),disease,"A0A0S2Z4Q2,Q15582",C0243026,ENSG00000120708,7045,protein-coding,0,0,0
87,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",1.0,,2016.0,ADORA2A,0.92,0.48,adenosine A2a receptor,0.030029,,2016.0,23,31,1,0,26,0,"R-HSA-162582,R-HSA-392499","Signal Transduction,Metabolism of proteins",G-protein coupled receptor,0.65,Disease or Syndrome (T047),disease,"A8K1F6,P29274,X5DNB4,B3KVQ4",C0243026,ENSG00000128271,135,protein-coding,0,0,0
88,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",1.0,,2004.0,MAPK1,0.92,0.34,mitogen-activated protein kinase 1,0.99852,,2004.0,59,31,1,16,26,0,"R-HSA-109582,R-HSA-112316,R-HSA-1266738,R-HSA-162582,R-HSA-1640170,R-HSA-1643685,R-HSA-168256,R-HSA-5357801,R-HSA-74160,R-HSA-8953897","Hemostasis,Neuronal System,Developmental Biology,Signal Transduction,Cell Cycle,Disease,Immune System,Programmed Cell Death,Gene expression (Transcription),Cellular responses to stimuli",Kinase,0.65,Disease or Syndrome (T047),disease,"Q499G7,P28482,Q1HBJ4",C0243026,ENSG00000100030,5594,protein-coding,0,3,2
89,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",1.0,,2004.0,MAPK3,0.92,0.33,mitogen-activated protein kinase 3,8.3786e-07,,2004.0,45,31,1,2,26,0,R-HSA-1640170,Cell Cycle,Kinase,0.65,Disease or Syndrome (T047),disease,"L7RXH5,P27361,Q9BWJ1",C0243026,ENSG00000102882,5595,protein-coding,0,4,3
90,disease by infectious agent (0050117),Bacterial sepsis,"Pathological Conditions, Signs and Symptoms,Infections",1.0,,,TREM1,0.88,0.48,triggering receptor expressed on myeloid cells 1,0.00019116,,,7,1,0,0,0,0,"R-HSA-109582,R-HSA-168256","Hemostasis,Immune System",,0.65,Disease or Syndrome (T047),disease,"Q38L15,Q9NP99,K7EKM5",C0684256,ENSG00000124731,54210,protein-coding,0,0,0
91,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",1.0,,2016.0,TOP2A,0.88,0.48,DNA topoisomerase II alpha,1.0,,2016.0,14,31,1,2,26,0,"R-HSA-1640170,R-HSA-392499","Cell Cycle,Metabolism of proteins",,0.5,Disease or Syndrome (T047),disease,P11388,C0243026,ENSG00000131747,7153,protein-coding,0,0,0
92,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",1.0,,2007.0,CXCR2,0.88,0.43,C-X-C motif chemokine receptor 2,0.24481,,2007.0,24,31,1,3,26,0,"R-HSA-162582,R-HSA-168256","Signal Transduction,Immune System",G-protein coupled receptor,0.5,Disease or Syndrome (T047),disease,"P25025,Q53PC4",C0243026,ENSG00000180871,3579,protein-coding,0,0,0
93,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",1.0,,2016.0,RPL9,0.67,0.6,ribosomal protein L9,0.99998,,2016.0,2,31,1,36,26,0,"R-HSA-1266738,R-HSA-1430728,R-HSA-1643685,R-HSA-392499,R-HSA-8953854,R-HSA-8953897","Developmental Biology,Metabolism,Disease,Metabolism of proteins,Metabolism of RNA,Cellular responses to stimuli",Nucleic acid binding,0.4,Disease or Syndrome (T047),disease,"Q53Z07,P32969",C0243026,ENSG00000163682,6133,protein-coding,0,0,0
94,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",1.0,,2016.0,RPL4,0.58,0.73,ribosomal protein L4,1.0,,2016.0,2,31,1,2,26,0,"R-HSA-1266738,R-HSA-1430728,R-HSA-1643685,R-HSA-392499,R-HSA-8953854,R-HSA-8953897","Developmental Biology,Metabolism,Disease,Metabolism of proteins,Metabolism of RNA,Cellular responses to stimuli",,0.4,Disease or Syndrome (T047),disease,P36578,C0243026,ENSG00000174444,6124,protein-coding,0,0,0
95,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",1.0,,2016.0,ADORA2B,0.83,0.53,adenosine A2b receptor,3.4422e-08,,2016.0,3,31,1,1,26,0,"R-HSA-162582,R-HSA-1643685,R-HSA-392499","Signal Transduction,Disease,Metabolism of proteins",G-protein coupled receptor,0.4,Disease or Syndrome (T047),disease,P29275,C0243026,ENSG00000170425,136,protein-coding,0,0,0
96,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",1.0,,2007.0,MT1A,0.75,0.6,metallothionein 1A,0.00020324,,2007.0,26,31,1,1,26,0,R-HSA-8953897,Cellular responses to stimuli,,0.4,Disease or Syndrome (T047),disease,P04731,C0243026,ENSG00000205362,4489,protein-coding,0,0,0
97,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",1.0,,2007.0,MT2A,0.88,0.5,metallothionein 2A,0.044744,,2007.0,27,31,1,3,26,0,"R-HSA-168256,R-HSA-8953897","Immune System,Cellular responses to stimuli",,0.4,Disease or Syndrome (T047),disease,P02795,C0243026,ENSG00000125148,4502,protein-coding,0,0,0
98,,Septicemia,"Pathological Conditions, Signs and Symptoms,Infections",,,,XIAP,0.88,0.43,X-linked inhibitor of apoptosis,,Abnormality of the immune system (02715),,17,1,0,129,1,1,,,Enzyme modulator,0.4,Disease or Syndrome (T047),disease,"B2R9R2,P98170",C0036690,ENSG00000101966,331,protein-coding,0,0,0
99,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.8936170212765957,,1996.0,TNF,0.96,0.23,tumor necrosis factor,0.85687,,2004.0,311,31,3,9,26,0,,,Signaling,1.0,Disease or Syndrome (T047),disease,"Q5STB3,P01375",C0243026,ENSG00000232810,7124,protein-coding,75,53,42
100,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.918918918918919,,2001.0,IL10,0.96,0.27,interleukin 10,0.48334,,2001.0,127,31,1,38,26,0,"R-HSA-1643685,R-HSA-168256","Disease,Immune System",,1.0,Disease or Syndrome (T047),disease,"P22301,Q6FGW4",C0243026,ENSG00000136634,3586,protein-coding,49,30,23
101,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.9117647058823528,,2020.0,IL1B,0.96,0.27,interleukin 1 beta,0.48761,,2020.0,162,31,1,4,26,0,"R-HSA-1643685,R-HSA-168256,R-HSA-5357801","Disease,Immune System,Programmed Cell Death",,1.0,Disease or Syndrome (T047),disease,P01584,C0243026,ENSG00000125538,3553,protein-coding,36,32,21
102,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.8704453441295547,,2020.0,IL6,0.96,0.24,interleukin 6,0.19935,,2020.0,209,31,1,6,26,0,"R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-74160,R-HSA-8953897","Signal Transduction,Disease,Immune System,Metabolism of proteins,Gene expression (Transcription),Cellular responses to stimuli",,1.0,Disease or Syndrome (T047),disease,"B5MC21,B4DVM1,B4DNQ5,P05231,Q75MH2",C0243026,ENSG00000136244,3569,protein-coding,105,44,39
103,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.982608695652174,,2009.0,HMGB1,0.92,0.37,high mobility group box 1,0.99972,,2013.0,22,31,2,14,26,0,"R-HSA-1643685,R-HSA-168256,R-HSA-5357801","Disease,Immune System,Programmed Cell Death",Nucleic acid binding,0.95,Disease or Syndrome (T047),disease,P09429,C0243026,ENSG00000189403,3146,protein-coding,3,21,25
104,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.8585858585858586,,2010.0,TLR4,0.92,0.33,toll like receptor 4,0.00040578,,2010.0,88,31,1,4,26,0,,,,0.9,Disease or Syndrome (T047),disease,O00206,C0243026,ENSG00000136869,7099,protein-coding,1,16,13
105,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.9,,1998.0,IFNG,0.96,0.27,interferon gamma,0.10687,,1998.0,132,31,1,19,26,0,"R-HSA-168256,R-HSA-74160","Immune System,Gene expression (Transcription)",,0.9,Disease or Syndrome (T047),disease,"P01579,A0A7R8GUN6",C0243026,ENSG00000111537,3458,protein-coding,14,13,6
106,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.8125,,2010.0,NOS3,0.96,0.37,nitric oxide synthase 3,2.4053e-25,,2010.0,125,31,1,14,26,0,"R-HSA-109582,R-HSA-1430728,R-HSA-162582,R-HSA-168256,R-HSA-8953897","Hemostasis,Metabolism,Signal Transduction,Immune System,Cellular responses to stimuli",,0.9,Disease or Syndrome (T047),disease,"A0S0A6,P29474",C0243026,ENSG00000164867,4846,protein-coding,1,4,5
107,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.8787878787878788,,,TREM1,0.88,0.48,triggering receptor expressed on myeloid cells 1,0.00019116,,,7,31,0,0,26,0,"R-HSA-109582,R-HSA-168256","Hemostasis,Immune System",,0.9,Disease or Syndrome (T047),disease,"K7EKM5,Q38L15,Q9NP99",C0243026,ENSG00000124731,54210,protein-coding,2,3,4
108,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.8767123287671232,,2002.0,PROC,0.88,0.39,"protein C, inactivator of coagulation factors Va and VIIIa",2.1626e-05,,2007.0,31,31,2,174,26,0,"R-HSA-109582,R-HSA-392499","Hemostasis,Metabolism of proteins",Enzyme,0.85,Disease or Syndrome (T047),disease,"B4DPC8,P04070",C0243026,ENSG00000115718,5624,protein-coding,7,12,10
109,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.9583333333333334,,2005.0,ANGPT1,0.83,0.42,angiopoietin 1,0.99987,,2005.0,16,31,1,26,26,0,"R-HSA-109582,R-HSA-162582","Hemostasis,Signal Transduction",Signaling,0.85,Disease or Syndrome (T047),disease,"B4DTQ9,Q15389",C0243026,ENSG00000154188,284,protein-coding,2,4,4
110,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.9583333333333334,,2012.0,LBP,0.92,0.46,lipopolysaccharide binding protein,6.7841e-14,,2012.0,10,31,1,0,26,0,R-HSA-168256,Immune System,,0.85,Disease or Syndrome (T047),disease,"P18428,Q8TCF0",C0243026,ENSG00000129988,3929,protein-coding,1,2,2
111,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.9375,,2007.0,CSF3,0.92,0.34,colony stimulating factor 3,4.8646e-06,,2007.0,89,31,1,2,26,0,R-HSA-168256,Immune System,,0.85,Disease or Syndrome (T047),disease,"Q6FH65,Q8N4W3,P09919",C0243026,ENSG00000108342,1440,protein-coding,1,3,2
112,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.9230769230769232,,2005.0,TGFB1,0.92,0.27,transforming growth factor beta 1,0.025965,,2005.0,135,31,1,38,26,0,"R-HSA-109582,R-HSA-1266738,R-HSA-1474244,R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-74160","Hemostasis,Developmental Biology,Extracellular matrix organization,Signal Transduction,Disease,Immune System,Metabolism of proteins,Gene expression (Transcription)",Signaling,0.85,Disease or Syndrome (T047),disease,"A0A499FJK2,P01137",C0243026,ENSG00000105329,7040,protein-coding,1,2,2
113,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.6666666666666666,,2007.0,NOS2,0.96,0.34,nitric oxide synthase 2,1.9485999999999999e-22,,2010.0,85,31,2,12,26,0,"R-HSA-109582,R-HSA-1643685,R-HSA-168256,R-HSA-9609507","Hemostasis,Disease,Immune System,Protein localization",,0.8,Disease or Syndrome (T047),disease,P35228,C0243026,ENSG00000007171,4843,protein-coding,0,7,13
114,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.9491525423728814,,2004.0,ADM,0.88,0.41,adrenomedullin,0.90366,,2004.0,19,31,1,1,26,0,"R-HSA-162582,R-HSA-8953897","Signal Transduction,Cellular responses to stimuli",Signaling,0.8,Disease or Syndrome (T047),disease,P35318,C0243026,ENSG00000148926,133,protein-coding,0,6,5
115,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.9166666666666666,,2011.0,LTA,0.92,0.4,lymphotoxin alpha,,,2011.0,48,31,1,17,26,0,R-HSA-168256,Immune System,,0.75,Disease or Syndrome (T047),disease,"Q5STV3,P01374",C0243026,ENSG00000226979,4049,protein-coding,0,0,0
116,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.85,,2005.0,MMP9,0.92,0.3,matrix metallopeptidase 9,3.7082e-25,,2005.0,107,31,1,38,26,0,"R-HSA-1266738,R-HSA-1474244,R-HSA-162582,R-HSA-168256","Developmental Biology,Extracellular matrix organization,Signal Transduction,Immune System",Enzyme,0.75,Disease or Syndrome (T047),disease,P14780,C0243026,ENSG00000100985,4318,protein-coding,0,1,1
117,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",1.0,,1999.0,MIF,0.92,0.4,macrophage migration inhibitory factor,2.2471e-08,,1999.0,29,31,1,0,26,0,"R-HSA-109582,R-HSA-168256","Hemostasis,Immune System",,0.7,Disease or Syndrome (T047),disease,"I4AY87,P14174",C0243026,ENSG00000240972,4282,protein-coding,0,1,1
118,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",0.875,,2005.0,CASP3,0.88,0.37,caspase 3,0.066565,,2020.0,39,31,2,1,26,0,,,Enzyme,0.65,Disease or Syndrome (T047),disease,P42574,C0243026,ENSG00000164305,836,protein-coding,0,6,4
119,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",1.0,,2017.0,TGFBI,0.88,0.41,transforming growth factor beta induced,1.1763e-11,,2017.0,13,31,1,75,26,0,R-HSA-392499,Metabolism of proteins,Signaling,0.65,Disease or Syndrome (T047),disease,"A0A0S2Z4Q2,Q15582",C0243026,ENSG00000120708,7045,protein-coding,0,0,0
120,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",1.0,,2016.0,ADORA2A,0.92,0.48,adenosine A2a receptor,0.030029,,2016.0,23,31,1,0,26,0,"R-HSA-162582,R-HSA-392499","Signal Transduction,Metabolism of proteins",G-protein coupled receptor,0.65,Disease or Syndrome (T047),disease,"A8K1F6,P29274,X5DNB4,B3KVQ4",C0243026,ENSG00000128271,135,protein-coding,0,0,0
121,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",1.0,,2004.0,MAPK1,0.92,0.34,mitogen-activated protein kinase 1,0.99852,,2004.0,59,31,1,16,26,0,"R-HSA-109582,R-HSA-112316,R-HSA-1266738,R-HSA-162582,R-HSA-1640170,R-HSA-1643685,R-HSA-168256,R-HSA-5357801,R-HSA-74160,R-HSA-8953897","Hemostasis,Neuronal System,Developmental Biology,Signal Transduction,Cell Cycle,Disease,Immune System,Programmed Cell Death,Gene expression (Transcription),Cellular responses to stimuli",Kinase,0.65,Disease or Syndrome (T047),disease,"Q499G7,P28482,Q1HBJ4",C0243026,ENSG00000100030,5594,protein-coding,0,3,2
122,disease by infectious agent (0050117),Sepsis,"Pathological Conditions, Signs and Symptoms,Infections",1.0,,2004.0,MAPK3,0.92,0.33,mitogen-activated protein kinase 3,8.3786e-07,,2004.0,45,31,1,2,26,0,R-HSA-1640170,Cell Cycle,Kinase,0.65,Disease or Syndrome (T047),disease,"L7RXH5,P27361,Q9BWJ1",C0243026,ENSG00000102882,5595,protein-coding,0,4,3
123,disease by infectious agent (0050117),Bacterial sepsis,"Pathological Conditions, Signs and Symptoms,Infections",1.0,,,TREM1,0.88,0.48,triggering receptor expressed on myeloid cells 1,0.00019116,,,7,1,0,0,0,0,"R-HSA-109582,R-HSA-168256","Hemostasis,Immune System",,0.65,Disease or Syndrome (T047),disease,"Q38L15,Q9NP99,K7EKM5",C0684256,ENSG00000124731,54210,protein-coding,0,0,0
