gene_symbol,DisGeNET,CTD,OpenTarget,Monarch,Sepon,IPA,sources,EvaluationSet
MIR122,,,,,Sepon,,Sepon,Inferred
MIR129-1,,,,,Sepon,,Sepon,Inferred
MIR133A1,,,,,Sepon,,Sepon,Inferred
MIR133A2,,,,,Sepon,,Sepon,Inferred
MIR141,,,,,Sepon,,Sepon,Inferred
MIR143,,,,,Sepon,,Sepon,Inferred
MIR146A,,,,,Sepon,,Sepon,Inferred
MIR146B,,,,,Sepon,,Sepon,Inferred
MIR147B,,,,,Sepon,,Sepon,Inferred
MIR150,,,,,Sepon,,Sepon,Inferred
MIR15A,,,,,Sepon,,Sepon,Inferred
MIR15B,,,,,Sepon,,Sepon,Inferred
MIR16-1,,,,,Sepon,,Sepon,Inferred
MIR16-2,,,,,Sepon,,Sepon,Inferred
MIR181A1,,,,,Sepon,,Sepon,Inferred
MIR181A2,,,,,Sepon,,Sepon,Inferred
MIR193B,,,,,Sepon,,Sepon,Inferred
MIR199A1,,,,,Sepon,,Sepon,Inferred
MIR199A2,,,,,Sepon,,Sepon,Inferred
MIR21,,,,,Sepon,,Sepon,Inferred
MIR223,,,,,Sepon,,Sepon,Inferred
MIR27A,,,,,Sepon,,Sepon,Inferred
MIR328,,,,,Sepon,,Sepon,Inferred
MIR34A,,,,,Sepon,,Sepon,Inferred
MIR378A,,,,,Sepon,,Sepon,Inferred
MIR451A,,,,,Sepon,,Sepon,Inferred
MIR455,,,,,Sepon,,Sepon,Inferred
MIR483,,CTD,,,Sepon,,"CTD,,,Sepon",gold
MIR495,,,,,Sepon,,Sepon,Inferred
MIR574,,,,,Sepon,,Sepon,Inferred
MIR873,,,,,Sepon,,Sepon,Inferred
MKNK1,,,,,,IPA,IPA,Inferred
MMUT,,,,Monarch,,,Monarch,Inferred
MNX1,,,,Monarch,,,Monarch,Inferred
MPO,,,,,Sepon,,Sepon,Inferred
MRC1,,,,,Sepon,,Sepon,Inferred
MRTFA,,,,Monarch,,,Monarch,Inferred
MS4A1,,,,,,IPA,IPA,Inferred
MS4A3,,,,,,IPA,IPA,Inferred
MT-ND1,,,OpenTarget,,,,OpenTarget,Inferred
MT-ND2,,,OpenTarget,,,,OpenTarget,Inferred
MT-ND3,,,OpenTarget,,,,OpenTarget,Inferred
MT-ND4,,,OpenTarget,,,,OpenTarget,Inferred
MT-ND4L,,,OpenTarget,,,,OpenTarget,Inferred
MT-ND5,,,OpenTarget,,,,OpenTarget,Inferred
MT-ND6,,,OpenTarget,,,,OpenTarget,Inferred
MT1,,CTD,,,,,CTD,gold
MT2,,CTD,,,,,CTD,gold
MTHFD2,,,,,,IPA,IPA,Inferred
MTNR1A,,,OpenTarget,,,,OpenTarget,Inferred
MTNR1B,,,OpenTarget,,,,OpenTarget,Inferred
MUC1,,,,,,IPA,IPA,Inferred
MX1,,,,,,IPA,IPA,Inferred
MYC,,,,,,IPA,IPA,Inferred
MYD88,,,,Monarch,,IPA,"Monarch,,IPA",Inferred
MYH11,,,,Monarch,,,Monarch,Inferred
MYLK,,,,Monarch,,,Monarch,Inferred
NAIP,,,,,,IPA,IPA,Inferred
NAMPT,,,,,Sepon,IPA,"Sepon,IPA",Inferred
NBN,,,,,,IPA,IPA,Inferred
NCF1,,,,Monarch,,,Monarch,Inferred
NCF2,,,,Monarch,,,Monarch,Inferred
NCF4,,,,Monarch,,,Monarch,Inferred
NCOA2,,,,,Sepon,,Sepon,Inferred
NDUFA1,,,OpenTarget,,,IPA,"OpenTarget,,,IPA",Inferred
NDUFA10,,,OpenTarget,,,,OpenTarget,Inferred
NDUFA11,,,OpenTarget,,,,OpenTarget,Inferred
NDUFA12,,,OpenTarget,,,,OpenTarget,Inferred
NDUFA13,,,OpenTarget,,,,OpenTarget,Inferred
NDUFA2,,,OpenTarget,,,,OpenTarget,Inferred
NDUFA3,,,OpenTarget,,,,OpenTarget,Inferred
NDUFA4,,,OpenTarget,,,IPA,"OpenTarget,,,IPA",Inferred
NDUFA4L2,,,OpenTarget,,,,OpenTarget,Inferred
NDUFA5,,,OpenTarget,,,,OpenTarget,Inferred
NDUFA6,,,OpenTarget,,,,OpenTarget,Inferred
NDUFA7,,,OpenTarget,,,,OpenTarget,Inferred
NDUFA8,,,OpenTarget,,,,OpenTarget,Inferred
NDUFA9,,,OpenTarget,,,,OpenTarget,Inferred
NDUFAB1,,,OpenTarget,,,,OpenTarget,Inferred
NDUFAF1,,,OpenTarget,,,IPA,"OpenTarget,,,IPA",Inferred
NDUFAF2,,,OpenTarget,,,,OpenTarget,Inferred
NDUFAF3,,,OpenTarget,,,,OpenTarget,Inferred
NDUFAF4,,,OpenTarget,,,,OpenTarget,Inferred
NDUFB1,,,OpenTarget,,,,OpenTarget,Inferred
NDUFB10,,,OpenTarget,,,,OpenTarget,Inferred
NDUFB11,,,OpenTarget,,,,OpenTarget,Inferred
NDUFB2,,,OpenTarget,,,,OpenTarget,Inferred
NDUFB3,,,OpenTarget,,,IPA,"OpenTarget,,,IPA",Inferred
NDUFB4,,,OpenTarget,,,,OpenTarget,Inferred
NDUFB5,,,OpenTarget,,,,OpenTarget,Inferred
NDUFB6,,,OpenTarget,,,,OpenTarget,Inferred
NDUFB7,,,OpenTarget,,,,OpenTarget,Inferred
NDUFB8,,,OpenTarget,,,,OpenTarget,Inferred
NDUFB9,,,OpenTarget,,,,OpenTarget,Inferred
NDUFC1,,,OpenTarget,,,,OpenTarget,Inferred
NDUFC2,,,OpenTarget,,,,OpenTarget,Inferred
NDUFS1,,,OpenTarget,,,,OpenTarget,Inferred
NDUFS2,,,OpenTarget,,,,OpenTarget,Inferred
NDUFS3,,,OpenTarget,,,,OpenTarget,Inferred
NDUFS4,,,OpenTarget,,,,OpenTarget,Inferred
NDUFS5,,,OpenTarget,,,,OpenTarget,Inferred
NDUFS6,,,OpenTarget,,,,OpenTarget,Inferred
NDUFS7,,,OpenTarget,,,,OpenTarget,Inferred
NDUFS8,,,OpenTarget,,,,OpenTarget,Inferred
NDUFV1,,,OpenTarget,,,,OpenTarget,Inferred
NDUFV2,,,OpenTarget,,,,OpenTarget,Inferred
NDUFV3,,,OpenTarget,,,,OpenTarget,Inferred
NEDD4,,,,,,IPA,IPA,Inferred
NELL2,,,,,,IPA,IPA,Inferred
NFKB2,,,,Monarch,,,Monarch,Inferred
NFKBIA,,,,,,IPA,IPA,Inferred
NFKBIB,,,,,,IPA,IPA,Inferred
NFKBID,,,,,,IPA,IPA,Inferred
NIPAL4,,,,Monarch,,,Monarch,Inferred
NLGN2,,,,,,IPA,IPA,Inferred
NLRC4,,,,,,IPA,IPA,Inferred
NLRP3,,CTD,,,Sepon,IPA,"CTD,,,Sepon,IPA",gold
NLRX1,,,,,,IPA,IPA,Inferred
NMI,,,,,,IPA,IPA,Inferred
NMT2,,,,,,IPA,IPA,Inferred
NOD2,,,,,,IPA,IPA,Inferred
NORAD,,,,,Sepon,,Sepon,Inferred
NPPA,,,,,Sepon,,Sepon,Inferred
NPPB,,,,,Sepon,,Sepon,Inferred
NR3C1,,,OpenTarget,,,IPA,"OpenTarget,,,IPA",Inferred
NR3C2,,,,,,IPA,IPA,Inferred
NRIP3,,,,,Sepon,,Sepon,Inferred
NRTN,,,,Monarch,,,Monarch,Inferred
NSMAF,,,,,,IPA,IPA,Inferred
NUP210,,,,,,IPA,IPA,Inferred
NUSAP1,,,,,,IPA,IPA,Inferred
OAS2,,,,,,IPA,IPA,Inferred
OFD1,,,,,,IPA,IPA,Inferred
OLFM4,,,,,,IPA,IPA,Inferred
OPRM1,,,,,,IPA,IPA,Inferred
OPTN,,,,,Sepon,,Sepon,Inferred
ORM1,,,,,Sepon,IPA,"Sepon,IPA",Inferred
OSCAR,,,,,,IPA,IPA,Inferred
OTC,,CTD,,,,,CTD,gold
P2RY10,,,,,,IPA,IPA,Inferred
PABPC1,,,,,,IPA,IPA,Inferred
PALLD,,,,,Sepon,,Sepon,Inferred
PANK2,,,,,,IPA,IPA,Inferred
PARG,,,,,,IPA,IPA,Inferred
PARP1,,,,,,IPA,IPA,Inferred
PCOLCE2,,,,,,IPA,IPA,Inferred
PCSK9,,,OpenTarget,,,,OpenTarget,Inferred
PDCD1,,,OpenTarget,,,,OpenTarget,Inferred
PDE10A,,,OpenTarget,,,,OpenTarget,Inferred
PDE1A,,,OpenTarget,,,,OpenTarget,Inferred
PDE1B,,,OpenTarget,,,,OpenTarget,Inferred
PDE1C,,,OpenTarget,,,,OpenTarget,Inferred
PDE2A,,,OpenTarget,,,,OpenTarget,Inferred
PDE3A,,,OpenTarget,,,,OpenTarget,Inferred
PDE3B,,,OpenTarget,,,IPA,"OpenTarget,,,IPA",Inferred
PDE4A,,,OpenTarget,,,,OpenTarget,Inferred
PDE4B,,,OpenTarget,,,IPA,"OpenTarget,,,IPA",Inferred
PDE4C,,,OpenTarget,,,IPA,"OpenTarget,,,IPA",Inferred
PDE4D,,,OpenTarget,,,IPA,"OpenTarget,,,IPA",Inferred
PDE5A,,,OpenTarget,,,IPA,"OpenTarget,,,IPA",Inferred
PDE6A,,,OpenTarget,,,,OpenTarget,Inferred
PDE6B,,,OpenTarget,,,,OpenTarget,Inferred
PDE6C,,,OpenTarget,,,,OpenTarget,Inferred
PDE6D,,,OpenTarget,,,,OpenTarget,Inferred
PDE6G,,,OpenTarget,,,,OpenTarget,Inferred
PDE6H,,,OpenTarget,,,,OpenTarget,Inferred
PDE7A,,,OpenTarget,,,IPA,"OpenTarget,,,IPA",Inferred
PDE7B,,,OpenTarget,,,IPA,"OpenTarget,,,IPA",Inferred
PDE8A,,,OpenTarget,,,IPA,"OpenTarget,,,IPA",Inferred
PDE8B,,,OpenTarget,,,,OpenTarget,Inferred
PDE9A,,,OpenTarget,,,,OpenTarget,Inferred
PDIA6,,,,,,IPA,IPA,Inferred
PEBP1,,,,,,IPA,IPA,Inferred
PEX19,,,,Monarch,,,Monarch,Inferred
PFKFB2,,,,,,IPA,IPA,Inferred
PFKFB3,,,,,,IPA,IPA,Inferred
PGF,,,,,Sepon,,Sepon,Inferred
PGLYRP1,,,,,,IPA,IPA,Inferred
PGM2,,,,,,IPA,IPA,Inferred
PGM3,,,,Monarch,,,Monarch,Inferred
PID1,,,,,Sepon,,Sepon,Inferred
PIK3CB,,,,,,IPA,IPA,Inferred
PIK3R1,,,,Monarch,,,Monarch,Inferred
PKP1,,,,Monarch,,,Monarch,Inferred
PLA2G2A,,,,,Sepon,,Sepon,Inferred
PLAT,,CTD,,,,,CTD,gold
PLAUR,,,,,Sepon,,Sepon,Inferred
PLD4,,,,,Sepon,,Sepon,Inferred
PLEK,,,,,,IPA,IPA,Inferred
PLG,,,OpenTarget,,,,OpenTarget,Inferred
POMP,,,,,,IPA,IPA,Inferred
PON1,,,,,Sepon,,Sepon,Inferred
PPARG,,,,,,IPA,IPA,Inferred
PPP1R12A,,,,,,IPA,IPA,Inferred
PRDX4,,,,,Sepon,,Sepon,Inferred
PRF1,,,,,,IPA,IPA,Inferred
PRKCH,,,,,,IPA,IPA,Inferred
PRKCQ,,,,,,IPA,IPA,Inferred
PROS1,,,,,Sepon,IPA,"Sepon,IPA",Inferred
PRR5,,,,,,IPA,IPA,Inferred
PSEN1,,,,,,IPA,IPA,Inferred
PSMA1,,,,,,IPA,IPA,Inferred
PSMA4,,,,,,IPA,IPA,Inferred
PTEN,,,,,,IPA,IPA,Inferred
PTGDR,,,,,,IPA,IPA,Inferred
PTGS1,,,OpenTarget,,,IPA,"OpenTarget,,,IPA",Inferred
PTGS2,,,OpenTarget,,,IPA,"OpenTarget,,,IPA",Inferred
PTPN1,,,,,,IPA,IPA,Inferred
PTPRE,,,,,,IPA,IPA,Inferred
PTTG1,,,,,,IPA,IPA,Inferred
PTX3,,,,,Sepon,,Sepon,Inferred
PVT1,,,,,Sepon,,Sepon,Inferred
PYGL,,,,,,IPA,IPA,Inferred
QPCT,,,,,,IPA,IPA,Inferred
RAB11A,,,,,,IPA,IPA,Inferred
RAB27A,,,,,,IPA,IPA,Inferred
RAB2A,,,,,,IPA,IPA,Inferred
RAB32,,,,,,IPA,IPA,Inferred
RAC2,,,,Monarch,,,Monarch,Inferred
RAG1,,,,Monarch,,,Monarch,Inferred
RAG2,,,,Monarch,,,Monarch,Inferred
RALB,,,,,,IPA,IPA,Inferred
RAP1B,,,,,,IPA,IPA,Inferred
RASGRP1,,,,,,IPA,IPA,Inferred
RBX1,,,,,,IPA,IPA,Inferred
REG1A,,,,,Sepon,,Sepon,Inferred
REG3A,,,,,Sepon,,Sepon,Inferred
RET,,,,Monarch,,,Monarch,Inferred
RETN,,,,,Sepon,IPA,"Sepon,IPA",Inferred
RFTN1,,,,,Sepon,,Sepon,Inferred
RFX5,,,,Monarch,,,Monarch,Inferred
RFXANK,,,,Monarch,,,Monarch,Inferred
RFXAP,,,,,Sepon,,Sepon,Inferred
RGL4,,,,,Sepon,,Sepon,Inferred
RHOA,,,,,,IPA,IPA,Inferred
RIPK2,,,,,,IPA,IPA,Inferred
RMRP,,,,Monarch,,,Monarch,Inferred
RNASE2,,,,,,IPA,IPA,Inferred
RNASE3,,,,,,IPA,IPA,Inferred
RNASEL,,,,,,IPA,IPA,Inferred
RNF13,,,,Monarch,,,Monarch,Inferred
RNF41,,,,,,IPA,IPA,Inferred
RPS6KA4,,,,,,IPA,IPA,Inferred
RPS6KA5,,,,,,IPA,IPA,Inferred
RRM2,,,,,,IPA,IPA,Inferred
RTN4,,,,,,IPA,IPA,Inferred
RUNX3,,,,,,IPA,IPA,Inferred
S100A12,,,,,Sepon,IPA,"Sepon,IPA",Inferred
S100A3,,,,,Sepon,,Sepon,Inferred
S100A8,,,,,Sepon,,Sepon,Inferred
S100A9,,,,,Sepon,IPA,"Sepon,IPA",Inferred
SAMD9,,,,Monarch,,,Monarch,Inferred
SASH3,,,,Monarch,,,Monarch,Inferred
SAT1,,,,,,IPA,IPA,Inferred
SBDS,,,,Monarch,,,Monarch,Inferred
SCN9A,,,,,,IPA,IPA,Inferred
SCUBE1,,,,,Sepon,,Sepon,Inferred
SDC1,,,,,Sepon,,Sepon,Inferred
SDCBP,,,,,,IPA,IPA,Inferred
SDR9C7,,,,Monarch,,,Monarch,Inferred
SEC23A,,,,,,IPA,IPA,Inferred
SEC24A,,,,,,IPA,IPA,Inferred
SEC24D,,,,,,IPA,IPA,Inferred
SEC61A1,,,,Monarch,,,Monarch,Inferred
SELE,,,,,Sepon,,Sepon,Inferred
SELENOP,,,,,Sepon,,Sepon,Inferred
SEMA3C,,,,Monarch,,,Monarch,Inferred
SEMA3D,,,,Monarch,,,Monarch,Inferred
SERAC1,,,,Monarch,,,Monarch,Inferred
SERPINA1,,,,,Sepon,,Sepon,Inferred
SERPINB1,,,,,,IPA,IPA,Inferred
SERPINB2,,,,,,IPA,IPA,Inferred
SERPINC1,,,OpenTarget,,Sepon,,"OpenTarget,,Sepon",Inferred
SERPINE1,,,,,Sepon,,Sepon,Inferred
SERPINI2,,,,,Sepon,,Sepon,Inferred
SFTPB,,,,Monarch,,,Monarch,Inferred
SFTPC,,,,Monarch,,,Monarch,Inferred
SH2D1B,,,,,,IPA,IPA,Inferred
SIGLEC10,,,,,Sepon,,Sepon,Inferred
SIRT1,,,OpenTarget,,,,OpenTarget,Inferred
SIRT2,,,,,Sepon,,Sepon,Inferred
SIRT3,,,,,Sepon,,Sepon,Inferred
SLAMF6,,,,,,IPA,IPA,Inferred
SLC24A4,,,,,,IPA,IPA,Inferred
SLC2A3,,,,,,IPA,IPA,Inferred
SLC39A7,,,,Monarch,,,Monarch,Inferred
SLPI,,,,,,IPA,IPA,Inferred
SMARCD2,,,,Monarch,,,Monarch,Inferred
SMARCD3,,,,,,IPA,IPA,Inferred
SMO,,,,Monarch,,,Monarch,Inferred
SMPD3,,,,,Sepon,,Sepon,Inferred
SNHG7,,,,,Sepon,,Sepon,Inferred
SNX6,,,,,,IPA,IPA,Inferred
SOCS1,,,,,,IPA,IPA,Inferred
SOCS3,,,,,,IPA,IPA,Inferred
SOD2,,CTD,,,,IPA,"CTD,,,,IPA",gold
SOX21,,,,,Sepon,,Sepon,Inferred
SPHK1,,,,,,IPA,IPA,Inferred
SPI1,,,,Monarch,,,Monarch,Inferred
SPINK5,,,,Monarch,,,Monarch,Inferred
SPP1,,,,,Sepon,,Sepon,Inferred
SREBF1,,,,Monarch,,,Monarch,Inferred
SRPK1,,,,,,IPA,IPA,Inferred
STAM2,,,,,,IPA,IPA,Inferred
STAT1,,,,,,IPA,IPA,Inferred
STAT3,,,,,,IPA,IPA,Inferred
STAT4,,,,,,IPA,IPA,Inferred
STIM1,,,,Monarch,,,Monarch,Inferred
STK4,,,,Monarch,,,Monarch,Inferred
STOM,,,,,,IPA,IPA,Inferred
STRN3,,,,,,IPA,IPA,Inferred
SULT2B1,,,,Monarch,,,Monarch,Inferred
SYNC,,,,,Sepon,,Sepon,Inferred
TAGAP,,,,,,IPA,IPA,Inferred
TARP,,,,,,IPA,IPA,Inferred
TBK1,,,,,,IPA,IPA,Inferred
TCF3,,,,Monarch,,,Monarch,Inferred
TCF7,,,,,,IPA,IPA,Inferred
TCN1,,,,,,IPA,IPA,Inferred
TDRD9,,,,,,IPA,IPA,Inferred
TERF2IP,,,,,,IPA,IPA,Inferred
TFF1,,,,,Sepon,,Sepon,Inferred
TFRC,,,,Monarch,,,Monarch,Inferred
TGFBR3,,,,,,IPA,IPA,Inferred
TGM1,,,,Monarch,,,Monarch,Inferred
TGM2,,,,,,IPA,IPA,Inferred
THBD,,,,,Sepon,,Sepon,Inferred
THBS1,,,,,Sepon,IPA,"Sepon,IPA",Inferred
TIAM1,,,,,,IPA,IPA,Inferred
TICAM1,,,,,,IPA,IPA,Inferred
TIMP1,,,,,Sepon,IPA,"Sepon,IPA",Inferred
TIRAP,,CTD,,,,,CTD,gold
TJP1,,,,,Sepon,,Sepon,Inferred
TLE3,,,,,,IPA,IPA,Inferred
TLR1,,,,,,IPA,IPA,Inferred
TLR2,,,,,,IPA,IPA,Inferred
TLR8,,,,,,IPA,IPA,Inferred
TLR9,,,OpenTarget,,,,OpenTarget,Inferred
TMBIM4,,,,,,IPA,IPA,Inferred
TMCO1,,,,,,IPA,IPA,Inferred
TMED2,,,,,,IPA,IPA,Inferred
TNFAIP3,,,,,,IPA,IPA,Inferred
TNFAIP6,,,,,,IPA,IPA,Inferred
TNFRSF1A,,,,,,IPA,IPA,Inferred
TNFRSF1B,,,,,,IPA,IPA,Inferred
TNFSF10,,,,,,IPA,IPA,Inferred
TNFSF12,,,,,Sepon,,Sepon,Inferred
TNFSF14,,,,,Sepon,,Sepon,Inferred
TNNI3,,,,,Sepon,,Sepon,Inferred
TOR1A,,,,,,IPA,IPA,Inferred
TPM3,,,,,,IPA,IPA,Inferred
TRAFD1,,,,,,IPA,IPA,Inferred
TRAM2,,,,,,IPA,IPA,Inferred
TRAT1,,,,,,IPA,IPA,Inferred
TREX1,,,,Monarch,,,Monarch,Inferred
TRIO,,,,,,IPA,IPA,Inferred
TRPV1,,,OpenTarget,,,,OpenTarget,Inferred
TSLP,,,,,Sepon,,Sepon,Inferred
TSNAX,,,,,,IPA,IPA,Inferred
TSPO,,,,,,IPA,IPA,Inferred
TXK,,,,,,IPA,IPA,Inferred
TXN,,,,,,IPA,IPA,Inferred
UBE2E1,,,,,,IPA,IPA,Inferred
UBE2F,,,,,,IPA,IPA,Inferred
UBE2L3,,,,,,IPA,IPA,Inferred
UGCG,,,,,,IPA,IPA,Inferred
USP37,,,,,,IPA,IPA,Inferred
VAPA,,,,,,IPA,IPA,Inferred
VASP,,,,,,IPA,IPA,Inferred
VDR,,,OpenTarget,,Sepon,IPA,"OpenTarget,,Sepon,IPA",Inferred
VNN1,,,,,,IPA,IPA,Inferred
VPS33A,,,,Monarch,,,Monarch,Inferred
VSTM1,,,,,Sepon,,Sepon,Inferred
WAS,,,,Monarch,,,Monarch,Inferred
WFDC2,,,,,Sepon,,Sepon,Inferred
WIPF1,,,,Monarch,,,Monarch,Inferred
WSB1,,,,,,IPA,IPA,Inferred
XAF1,,,,,,IPA,IPA,Inferred
XDH,,,,,Sepon,,Sepon,Inferred
XIST,,,,,,IPA,IPA,Inferred
YARS1,,,,Monarch,,,Monarch,Inferred
YBX1,,,,,,IPA,IPA,Inferred
YWHAG,,,,,,IPA,IPA,Inferred
YWHAZ,,,,,,IPA,IPA,Inferred
ZAP70,,,,,,IPA,IPA,Inferred
ZBTB20,,,,,,IPA,IPA,Inferred
ZFAS1,,,,,Sepon,,Sepon,Inferred
ZNF230,,,,,,IPA,IPA,Inferred
ZNF281,,,,,,IPA,IPA,Inferred
